ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
6,conventional,8,smoc3,67.821,13168,12136,25536,26360,17180,2443
6,conventional,8,smoc4,67.134,4212,3728,13204,18236,8844,2440
6,conventional,8,smoc5,66.947,1540,6868,14092,24160,13832,2439
6,conventional,8,smoc6,66.798,2296,6804,14044,23012,13868,2438
6,conventional,8,smoc7,26.167,4756,1548,6112,6316,7232,2438
6,conventional,9,smoc1,68.467,6760,2224,23644,23708,9540,2438
6,conventional,9,smoc2,68.618,7632,5228,24008,25580,12784,2438
6,conventional,9,smoc3,68.492,6532,5228,24516,21484,12568,2437
6,conventional,9,smoc4,69.314,6848,6460,21260,23148,14256,2439
6,conventional,9,smoc5,68.206,6868,5228,22380,27468,13944,2437
6,conventional,9,smoc6,68.407,9652,6820,27640,25596,14088,2438
6,conventional,9,smoc7,27.523,8388,8140,18504,15608,9700,2437
6,conventional,10,smoc1,67.369,3380,4316,11592,22364,9212,2442
6,conventional,10,smoc2,67.04,1596,4064,10316,21120,9732,2438
6,conventional,10,smoc3,67.217,3684,3588,8872,22700,10096,2437
6,conventional,10,smoc4,66.601,5524,4548,8056,22604,10568,2439
6,conventional,10,smoc5,66.444,2888,4752,13676,21684,12716,2437
6,conventional,10,smoc6,67.122,8720,8204,24212,26928,16064,2436
6,conventional,10,smoc7,26.086,6100,1732,5596,2284,1864,2440
6,distributed,1,smoc1,66.03,276,5224,3356,9988,6672,2437
6,distributed,1,smoc2,65.588,1468,3560,5176,14832,6544,2436
6,distributed,1,smoc3,66.149,3872,4296,15824,13196,6564,2437
6,distributed,1,smoc4,66.105,1692,4416,4120,13464,8308,2436
6,distributed,1,smoc5,65.362,0,4596,6924,9828,7000,2437
6,distributed,1,smoc6,65.863,0,4596,4628,10908,6836,2435
6,distributed,1,smoc7,28.833,12136,7040,23608,23960,12176,2440
6,distributed,2,smoc1,66.549,4932,1436,12004,19492,8164,2435
6,distributed,2,smoc2,66.665,2016,4308,8820,11624,7348,2435
6,distributed,2,smoc3,67.483,4576,1768,3140,11836,7036,2439
6,distributed,2,smoc4,67.004,4952,4692,14052,15700,8604,2435
6,distributed,2,smoc5,67.158,2244,2872,10040,12364,6416,2436
6,distributed,2,smoc6,67.39,0,4588,3520,8460,7500,2434
6,distributed,2,smoc7,26.785,5544,1028,9936,6400,5740,2436
6,distributed,3,smoc1,67.467,2480,4248,11784,13744,7688,2438
