ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,VmStk,VmExe,VmLib,DeltaMemoryUsageInKbFromTop
12,distributed,2,smoc12,32.617,2497812,2493344,157072,150896,247424,132,8,5508,2434
12,distributed,3,smoc1,146.802,2497840,2492912,161624,150648,246484,132,8,5508,2434
12,distributed,3,smoc2,147.129,2500548,2495652,161544,149504,249484,132,8,5508,2437
12,distributed,3,smoc3,135.467,2498504,2493676,153780,148072,247372,132,8,5508,2435
12,distributed,3,smoc4,146.357,2502276,2497256,162604,151992,251284,132,8,5508,2438
12,distributed,3,smoc5,146.424,2498520,2493852,159724,151700,247812,132,8,5508,2435
12,distributed,3,smoc6,146.411,2498968,2494292,160180,150628,247932,132,8,5508,2435
12,distributed,3,smoc7,141.979,2501912,2497068,160356,150040,250640,132,8,5508,2438
12,distributed,3,smoc8,145.305,2501924,2496936,163472,152248,250836,132,8,5508,2438
12,distributed,3,smoc9,144.566,2499796,2495228,156400,149032,248932,132,8,5508,2436
12,distributed,3,smoc10,145.424,2499636,2494752,160432,149480,248324,132,8,5508,2436
12,distributed,3,smoc11,145.113,2503276,2498244,163368,149852,252144,132,8,5508,2439
12,distributed,3,smoc12,31.093,2499232,2494340,159748,150360,247964,132,8,5508,2435
12,distributed,4,smoc1,153.593,2499716,2494684,160384,150724,248256,132,8,5508,2436
12,distributed,4,smoc2,152.402,2499260,2494364,155388,147316,247676,132,8,5508,2435
12,distributed,4,smoc3,152.854,2499476,2495848,153776,146628,249096,132,8,5508,2437
12,distributed,4,smoc4,157.223,2499416,2494512,161924,148988,248860,132,8,5508,2436
12,distributed,4,smoc5,152.208,2498296,2493780,154484,147584,247028,132,8,5508,2435
12,distributed,4,smoc6,153.102,2500116,2495224,161360,151040,249124,132,8,5508,2436
12,distributed,4,smoc7,148.96,2500412,2495892,156756,149516,249464,132,8,5508,2437
12,distributed,4,smoc8,149.593,2498488,2494020,154192,145912,247204,132,8,5508,2435
12,distributed,4,smoc9,152.195,2499380,2494544,154840,149088,248572,132,8,5508,2436
12,distributed,4,smoc10,153.034,2498300,2493632,157196,148948,247400,132,8,5508,2435
12,distributed,4,smoc11,150.841,2501400,2496832,164256,149680,250340,132,8,5508,2438
12,distributed,4,smoc12,31.100,2498552,2493460,156676,149772,247604,132,8,5508,2435
12,distributed,5,smoc1,150.281,2501796,2496708,161260,149492,251120,132,8,5508,2438
12,distributed,5,smoc2,151.257,2499864,2495340,159372,147796,249168,132,8,5508,2436
