ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,MaxMemoryUsageInKb,DeltaMemoryUsageInKbFromVmSize,DeltaMemoryUsageInKbFromTop
4,base,5,smoc1,31.366,2498700,2494392,2435
4,base,5,smoc2,31.106,2507624,2500564,2441
4,base,5,smoc3,31.143,2499000,2494096,2435
4,base,5,smoc4,9.851,2494292,2493908,2435
4,base,6,smoc1,30.874,2496664,2491768,2433
4,base,6,smoc2,30.574,2496628,2494144,2435
4,base,6,smoc3,30.553,2507344,2500284,2441
4,base,6,smoc4,10.065,2507912,2500884,2442
4,base,7,smoc1,31.182,2496188,2491520,2433
4,base,7,smoc2,30.867,2508380,2501320,2442
4,base,7,smoc3,30.776,2501908,2497688,2439
4,base,7,smoc4,10.959,2494668,2494668,2436
4,base,8,smoc1,30.976,2506556,2499496,2440
4,base,8,smoc2,30.646,2505128,2498024,2439
4,base,8,smoc3,30.058,2497300,2494816,2436
4,base,8,smoc4,10.014,2493852,2493852,2435
4,base,9,smoc1,30.431,2493888,2491396,2433
4,base,9,smoc2,30.475,2503328,2496268,2437
4,base,9,smoc3,30.349,2504372,2497444,2438
4,base,9,smoc4,10.079,2493940,2493660,2435
4,base,10,smoc1,30.81,2499196,2494288,2435
4,base,10,smoc2,30.709,2495060,2492576,2434
4,base,10,smoc3,31.231,2507132,2500072,2441
4,base,10,smoc4,10.02,2502268,2495208,2436
4,our,1,smoc1,32.673,2505408,2498420,2439
4,our,1,smoc2,33.22,2504416,2499424,2440
4,our,1,smoc3,32.798,2499284,2495084,2436
4,our,1,smoc4,15.822,2496472,2494632,2436
4,our,2,smoc1,30.985,2497840,2492988,2434
4,our,2,smoc2,31.801,2500940,2495948,2437
4,our,2,smoc3,31.27,2499524,2494856,2436
4,our,2,smoc4,14.595,2499644,2494616,2436
4,our,3,smoc1,28.745,2503264,2498360,2439
4,our,3,smoc2,29.028,2496660,2492140,2433
4,our,3,smoc3,29.584,2503160,2498268,2439
4,our,3,smoc4,14.166,2505416,2498112,2439
4,our,4,smoc1,31.044,2496736,2491764,2433
4,our,4,smoc2,29.061,2497708,2493272,2434
4,our,4,smoc3,29.352,2499796,2494896,2436
4,our,4,smoc4,13.400,2499160,2494268,2435
4,our,5,smoc1,29.291,2500836,2496000,2437
4,our,5,smoc2,29.943,2499296,2494800,2436
4,our,5,smoc3,29.441,2499220,2494372,2435
4,our,5,smoc4,13.493,2500228,2495236,2436
4,our,6,smoc1,29.255,2501184,2496200,2437
4,our,6,smoc2,28.997,2500456,2495948,2437
4,our,6,smoc3,29.365,2497872,2493256,2434
4,our,6,smoc4,13.704,2499508,2497736,2439
4,our,7,smoc1,28.87,2504728,2497072,2438
4,our,7,smoc2,28.726,2497176,2492284,2433
4,our,7,smoc3,29.505,2499564,2494672,2436
4,our,7,smoc4,13.787,2496744,2494904,2436
4,our,8,smoc1,28.631,2499112,2494644,2436
4,our,8,smoc2,28.663,2499336,2494444,2435
4,our,8,smoc3,28.574,2497452,2495272,2436
4,our,8,smoc4,14.720,2502088,2497572,2439
4,our,9,smoc1,28.996,2497532,2492636,2434
4,our,9,smoc2,29.132,2500536,2495688,2437
4,our,9,smoc3,29.49,2498980,2494360,2435
4,our,9,smoc4,13.350,2499804,2495280,2436
4,our,10,smoc1,28.584,2502128,2496368,2437
4,our,10,smoc2,28.98,2497172,2492700,2434
4,our,10,smoc3,29.32,2500264,2495788,2437
4,our,10,smoc4,13.167,2500200,2495384,2436
