ReplicaSet,Solution,SmocId,Experiment,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
6,centralized,smoc4,7,14.364,8876,11312,105836,120456,63312,3563
6,centralized,smoc5,7,15.088,10028,11972,115624,122368,111532,3547
6,centralized,smoc6,7,14.138,8204,10636,81540,100944,55500,3566
6,centralized,smoc7,7,5.989,6360,3268,85704,79988,97620,3560
6,centralized,smoc1,8,14.122,11748,10256,63440,83416,69668,3568
6,centralized,smoc2,8,15.035,8696,11776,86028,95588,50468,3561
6,centralized,smoc3,8,14.457,12632,10588,105640,116472,65016,3559
6,centralized,smoc4,8,14.238,12588,10592,117932,138932,143548,3569
6,centralized,smoc5,8,14.935,9284,6924,108888,124760,67196,3557
6,centralized,smoc6,8,14.077,5832,8792,115456,122472,74400,3551
6,centralized,smoc7,8,4.779,13084,9908,74580,72800,56960,3549
6,centralized,smoc1,9,14.138,7464,8080,92408,101620,57732,3551
6,centralized,smoc2,9,14.946,2644,9980,79704,100428,61656,3559
6,centralized,smoc3,9,13.792,13684,10832,125276,131484,135940,3553
6,centralized,smoc4,9,14.661,13916,13260,118276,132488,121264,3562
6,centralized,smoc5,9,14.202,11852,12600,78884,91176,54176,3554
6,centralized,smoc6,9,14.264,10984,12036,75992,88360,48376,3551
6,centralized,smoc7,9,4.471,12668,9096,56720,54408,61672,3551
6,centralized,smoc1,10,14.675,7932,8432,105360,116160,104912,3562
6,centralized,smoc2,10,14.366,12204,13036,89480,98076,57428,3553
6,centralized,smoc3,10,14.293,4112,9616,98660,115176,113096,3563
6,centralized,smoc4,10,14.954,7548,8812,89908,109732,65676,3567
6,centralized,smoc5,10,14.424,13480,9040,126844,125292,59828,3544
6,centralized,smoc6,10,14.219,8944,13036,91392,112244,61664,3567
6,centralized,smoc7,10,4.807,6620,520,70780,65612,62284,3554
6,conventional,smoc1,1,13.892,7748,10008,70452,90652,50528,3566
6,conventional,smoc2,1,14.939,9088,9712,107916,122072,72116,3567
6,conventional,smoc3,1,14.626,6912,11512,126264,145068,128216,3568
6,conventional,smoc4,1,14.616,6976,9640,116920,134888,77912,3566
6,conventional,smoc5,1,13.973,7384,5892,101056,106268,59180,3563
6,conventional,smoc6,1,13.979,13092,10832,105784,112876,58700,3557
6,conventional,smoc7,1,4.867,10412,4836,52328,43600,62520,3558
6,conventional,smoc1,2,15.09,13500,12804,86272,96468,54972,3548
6,conventional,smoc2,2,15.473,10948,10668,121132,134652,73276,3560
6,conventional,smoc3,2,15.171,10796,10708,129456,139772,78040,3558
6,conventional,smoc4,2,13.751,7332,9480,106188,117876,65992,3563
6,conventional,smoc5,2,15.122,10924,11008,83828,92284,60272,3563
6,conventional,smoc6,2,14.403,11128,10000,102824,120888,77100,3569
6,conventional,smoc7,2,4.557,8552,1124,54896,52412,53988,3555
6,conventional,smoc1,3,13.748,4164,10504,75132,91308,50820,3564
6,conventional,smoc2,3,14.18,10108,10736,81132,96260,52528,3556
6,conventional,smoc3,3,13.932,7384,9016,110824,130620,82796,3569
6,conventional,smoc4,3,14.901,11272,11860,116592,124728,77760,3548
6,conventional,smoc5,3,13.801,12884,9900,85544,95844,56392,3553
6,conventional,smoc6,3,13.982,8400,10856,69976,79968,48400,3556
6,conventional,smoc7,3,4.913,4208,624,75660,74840,50920,3559
6,conventional,smoc1,4,14.189,13732,12304,84876,101884,98760,3566
6,conventional,smoc2,4,13.206,8680,9348,88060,98304,92832,3550
